07-02 12:32:06: Training starting...
07-02 12:32:07: New best reward 11.0 (-100.0%) at episode 0, saving model...
07-02 12:32:07: New best reward 18.0 (+63.6%) at episode 1, saving model...
07-02 12:32:07: New best reward 33.0 (+83.3%) at episode 3, saving model...
07-02 12:32:07: New best reward 34.0 (+3.0%) at episode 5, saving model...
07-02 12:32:07: New best reward 46.0 (+35.3%) at episode 25, saving model...
07-02 12:32:07: New best reward 76.0 (+65.2%) at episode 48, saving model...
07-02 12:32:08: New best reward 110.0 (+44.7%) at episode 1292, saving model...
07-02 12:32:09: New best reward 139.0 (+26.4%) at episode 1374, saving model...
07-02 12:32:10: New best reward 150.0 (+7.9%) at episode 2367, saving model...
07-02 12:32:10: New best reward 250.0 (+66.7%) at episode 2377, saving model...
07-02 12:32:11: New best reward 288.0 (+15.2%) at episode 2845, saving model...
07-02 12:32:17: New best reward 506.0 (+75.7%) at episode 6469, saving model...
07-02 12:32:21: New best reward 524.0 (+3.6%) at episode 8701, saving model...
07-02 12:32:23: New best reward 558.0 (+6.5%) at episode 9743, saving model...
07-02 12:32:23: New best reward 647.0 (+15.9%) at episode 9772, saving model...
07-02 12:32:23: New best reward 1048.0 (+62.0%) at episode 9786, saving model...
07-02 12:32:24: New best reward 1166.0 (+11.3%) at episode 9886, saving model...
