07-02 12:31:34: Training starting...
07-02 12:31:34: New best reward -8.7 (-100.0%) at episode 0, saving model...
07-02 12:31:34: New best reward -8.1 (-6.9%) at episode 1, saving model...
07-02 12:31:34: New best reward -6.3 (-22.2%) at episode 2, saving model...
07-02 12:31:34: New best reward -5.1 (-19.0%) at episode 6, saving model...
07-02 12:31:34: New best reward -4.5 (-11.8%) at episode 13, saving model...
07-02 12:31:35: New best reward -3.3 (-26.7%) at episode 237, saving model...
07-02 12:31:35: New best reward -2.1 (-36.4%) at episode 383, saving model...
07-02 12:31:36: New best reward -1.5 (-28.6%) at episode 661, saving model...
07-02 12:31:36: New best reward 0.3 (-120.0%) at episode 715, saving model...
07-02 12:31:37: New best reward 0.9 (+200.0%) at episode 1219, saving model...
07-02 12:31:37: New best reward 1.5 (+66.7%) at episode 1360, saving model...
